PlayerID,Age,Gender,Location,GameGenre,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel
20000,44,Male,Europe,Sports,14.81,0,Easy,4,131.6,15,13,Low
20001,30,Male,Other,Action,25.16,0,Medium,11,124.8,40,21,Medium
20002,23,Male,USA,Action,23.95,0,Medium,6,88.5,34,15,Medium
20003,36,Male,USA,RPG,19.15,0,Medium,10,104.5,30,22,Medium
20004,34,Male,Asia,RPG,29.06,1,Medium,14,84.4,39,31,High
20005,38,Male,Europe,Action,36.2,1,Hard,14,108.8,65,41,High
20006,26,Female,Asia,RPG,37.66,1,Medium,17,99.1,56,35,High
20007,26,Female,Other,Sports,20.9,1,Medium,9,108.2,36,21,Medium
20008,39,Female,USA,Strategy,31.63,0,Medium,15,100.5,39,38,High
20009,39,Male,Europe,Action,7.76,0,Easy,3,100.1,27,10,Low
20010,18,Female,Asia,Action,4.53,1,Easy,3,115.6,17,3,Low
20011,37,Female,Europe,RPG,9.74,1,Easy,4,71.7,11,10,Low
20012,17,Male,Other,Action,13.85,0,Medium,6,77.7,45,7,Low
20013,39,Female,USA,Action,23.59,1,Medium,17,142.1,37,28,High
20014,45,Male,Europe,Sports,6.69,1,Easy,4,118.3,3,7,Low
20015,17,Female,Other,Sports,11.95,0,Easy,4,62.2,21,13,Low
20016,36,Female,Other,Strategy,20.99,1,Medium,8,88.2,46,20,Medium
20017,48,Female,USA,Action,20.81,1,Medium,9,165.5,38,22,Medium
20018,27,Female,Asia,RPG,21.75,1,Medium,9,132.4,33,27,High
20019,37,Female,USA,Strategy,19.5,1,Medium,13,95.7,48,25,Medium
20020,40,Male,USA,RPG,23.97,0,Medium,10,104.0,49,27,Medium
20021,42,Female,Europe,Action,18.35,1,Medium,17,87.6,43,30,High
20022,43,Male,Europe,RPG,8.89,1,Easy,6,119.0,11,7,Low
20023,31,Female,Asia,RPG,24.55,0,Medium,7,109.4,46,25,Medium
20024,30,Male,Other,Strategy,21.13,0,Medium,14,88.7,45,21,Medium
20025,18,Female,Europe,Action,13.59,1,Easy,12,83.9,9,14,Medium
20026,22,Female,Asia,Strategy,22.31,0,Easy,10,98.0,29,31,High
